Question type,Answer explanation,Points,Prompt,Correct answers,Answer choice 1,Answer choice 2,Answer choice 3,Answer choice 4,Answer choice 5
MC,,,What is the primary unit of concern in public health ethics?,1,The population as a,The medical institution,The healthcare provider,The individual patient,
MC,,,How does public health ethics differ broadly from clinical ethics?,3,Relies entirely on randomized,Focuses solely on extending,Emphasizes collective welfare over,Involves actions taken with,
MC,,,What is John Stuart Mill harm principle?,4,All medical procedures require,Power may be used,Society must maximize total,Power may only be,
MC,,,The historical case of Mary Mallon illustrates tensions between what?,2,Paternalism and the right,Individual liberty and collective,Informed consent and clinical,Medical rationing and the,
MC,,,What defines a healthy carrier in infectious disease?,2,A vaccinated individual avoiding,Spreads a disease without,Has fully recovered and,Patient undergoing an active,
MC,,,Under Jackson v. Massachusetts the Supreme Court ruled what?,2,Quarantine is unconstitutional without,States can compel vaccination,Individuals can always refuse,State policies must be,
MC,,,According to the deficit model why do people hold false beliefs?,3,Because they are trying,Because they distrust scientific,Because they are missing,Because they have been,
MC,,,What does Dan Kahan mean by identity-protective cognition?,3,Always defer to primary,Intentionally spread misinformation to,Reason to protect standing,Systematically avoid learning scientific,
MC,,,According to Kahan what happens to highly scientifically literate people on charged issues?,3,Immediately converge on the,Discard their group identity,Become more polarized defending,Lose their scientific literacy,
MC,,,What is an epistemic bubble according to C. Thi Nguyen?,1,Network where contrary voices,Government propaganda strategy filtering,Network that actively discredits,Intentional manipulation of vaccine,
MC,,,How does an echo chamber differ from an epistemic bubble?,1,Actively discredits and builds,Accidentally leaves out contrary,Inherently easier to pop,Relies purely on the,
MC,,,In 1998 Dr. Andrew Wakefield published a flawed study claiming a link between MMR and what?,2,Adult onset diabetes,Autism,Polio,Guillain-Barre syndrome,
MC,,,What eventually happened to Wakefield paper in the Lancet?,4,Ignored entirely by the,Proven fully correct and,Sparked an FDA ban,Fully retracted and Wakefield,
MC,,,What did journalist Brian Deer discover regarding Wakefield study?,3,Pharmaceutical companies funded the,Forced to publish it,Undisclosed financial conflicts and,Actually stolen the data,
MC,,,What is manufactured doubt?,4,Legal standard used to,Natural phase of the,Psychological instinct protecting personal,Strategy to create scientific,
MC,,,Who developed the five justificatory benchmarks for public health interventions?,4,Robert Nozick and Peter,Amartya Sen and Nussbaum,John Stuart Mill and,Childress and colleagues,
MC,,,Which of the following is NOT one of the five justificatory benchmarks for public health?,3,Proportionality,Necessity,Paternalistic advantage over others,Effectiveness,
MC,,,What defines a free rider in the context of vaccination?,2,Refuses care because they,Benefits from herd immunity,Pays taxes specifically supporting,Volunteers for experimental vaccine,
MC,,,What describes herd immunity?,2,Every single person in,Enough of a population,Individual builds natural immunity,Government legally mandates a,
MC,,,Which public health benchmark calculates if benefits outweigh infringed moral considerations?,4,Effectiveness,Least infringement,Necessity,Proportionality,
MC,,,Which public health benchmark requires choosing the option restricting liberty the least?,4,Necessity,Effectiveness,Proportionality,Least infringement,
MC,,,What was used as the central legal precedent in Buck v. Bell?,3,The decision in Mary,Cruzan v. Director,Jacobson v. Massachusetts,Roe v. Wade,
MC,,,What conclusion did Buck v. Bell legally defend?,1,Compulsory sterilization of purportedly,Immediate euthanasia for psychiatric,Indefinite detention of all,Mandatory organ donations from,
MC,,,If a false belief survives in an echo chamber what is the best strategy?,1,Rebuilding trust and relationship,Supplying large packets of,Explaining the deficit model,Forcing the person to,
MC,,,Why is public health ethics described as inherently political?,2,Based entirely on campaign,Authorizes the state to,Requires all decisions to,Only involves voting on,
MC,,,What was Wakefield undisclosed financial conflict of interest?,4,Received huge payouts from,Selling a rival patent,Trying to short-sell the,Funded by lawyers suing,
MC,,,Why do public health interventions often face intense resistance?,1,Burden some people for,Focus solely on terminal,Entirely experimental and unproven,Require the explicit consent,
MC,,,Naomi Oreskes answers that trust is founded on what?,3,Lone genius making breakthroughs,Direct access to absolute,Sustained critical consensus of,Strict adherence to the,
MC,,,If a person refuses the MMR vaccine purely due to missing information what condition are they in?,2,Acting out of identity-protective,Have a simple deficit,Trapped in a deep,Deliberately free-riding on herd,
MC,,,Why did Mary Mallon second confinement feel more ethically justified than the first?,1,Knew she was a,Actively committed a violent,Laws had explicitly banned,Supreme Court issued a,
MR,,,Which of the following are parts of Childress five justificatory benchmarks? (Select all that apply),"1,2,3,4",Effectiveness,Necessity,Proportionality,Least infringement,
MR,,,What are defining features of an echo chamber according to Nguyen? (Select all that apply),"1,3,4",Preemptively dismisses contrary evidence,Just accidentally leaves out,Builds distrust in mainstream,Actively discredits outside voices,
MR,,,Which arguments did the Supreme Court use in Jacobson v. Massachusetts? (Select all that apply),"1,2,3",States have police power,Liberty is not an,Compelled vaccination is constitutional,Forced sterilization is a,
MR,,,What was true regarding Mary Mallon first confinement? (Select all that apply),"1,2,4",She felt entirely healthy,She had committed no,She had explicitly admitted,There was no specific,
MR,,,What did Dan Kahan research on identity-protective cognition show? (Select all that apply),"1,2,4",High science literacy increases,Reasoning is used to,The deficit model is,Minds often prioritize group,
MR,,,What elements contributed to the lasting impact of the Wakefield MMR study? (Select all that apply),"2,3,4",Involved hundreds of thousands,Matched existing anxieties about,Enjoyed uncritical spread by,Published in the prestigious,
MR,,,What ethical principles must often be balanced in public health decisions? (Select all that apply),"2,3,4",Absolute right to refuse,Individual autonomy or liberty,Collective welfare or beneficence,Justice or fairness in,
MR,,,Which statements describe a free rider problem in vaccination? (Select all that apply),"2,3,4",Individuals pay extreme out-of-pocket,Individuals avoid the risk,It leverages the immunity,Individuals gain protection from,
MR,,,What does Naomi Oreskes argue regarding trusting science? (Select all that apply),"1,2,3",Science is a social,Individual studies can be,Trust should be based,We must trust science,
MR,,,How do epistemic bubbles differ from echo chambers according to Nguyen? (Select all that apply),"1,2,4",Bubbles involve accidentally missing,Echo chambers involve active,Echo chambers are just,Bubbles are structurally easier,
